University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of Texas at Dallas,Information Technology Management,09-09-2014,10-03-2014,Admit,156,152,308,3.5,107,0,8.83,10
Northern Illinois University,Computer Science,10-02-2014,10/29/2014,Admit,158,150,308,3,93,0,7.59,10
Syracuse University,Computer Science,10-12-2014,10/28/2014,Admit,158,150,308,3,95,0,8.2,10
Rochester Institute of Technology,Computer Science,11-01-2014,11-12-2014,Admit,162,150,312,3,105,0,8.17,10
University of Texas at Dallas,Information Technology Management,11-02-2014,11-12-2014,Admit,164,147,311,5,101,0,6.634,10
Michigan Technological University,Computer Science,10-10-2014,11-02-2014,Admit,159,144,303,4.5,108,0,7.1,10
University of Texas at Dallas,Computer Science,11-06-2014,11/19/2014,Admit,162,146,308,4,99,0,7.8,10
California State University Sacramento,Computer Science - Software Development,03-10-2015,05-10-2015,Admit,149,136,285,2.5,66,5.5,5.3,10
Wayne State University,Computer Science,10-12-2014,11/15/2014,Admit,164,151,315,5,112,0,7.8,10
"Illinois Institute of Technology, Chicago",Computer Science,10/28/2014,11/26/2014,Admit,164,152,316,3.5,106,0,6.4,10
Wayne State University,Computer Science,10-12-2014,11/15/2014,Admit,164,151,315,5,112,0,7.8,10
Illinois Institute of Technology Chicago,Computer Science,10/28/2014,11/26/2014,Admit,164,152,316,3.5,106,0,6.4,10
Virginia Tech University,Computer Science,10/23/2014,12-06-2014,Admit,156,156,312,3.5,116,0,7.5,10
Wayne State University,Computer Science,10/21/2014,10/27/2014,Admit,164,151,315,5,112,0,7.8,10
Missouri University of Science & Technology,Computer Science,11/20/2014,11/30/2014,Admit,157,153,310,3,75,0,8.85,10
North Carolina State University,Computer Engineering,10/22/2014,12-06-2014,Admit,150,151,301,2.5,93,0,7.99,10
University of South Florida,Management Information Systems,10/31/2014,11/25/2014,Admit,157,147,304,3.5,98,0,8.1,10
Midwestern State University,Computer Science,9/22/2014,11-09-2014,Admit,150,137,287,2.5,72,6,6.9,10
Governors State University,Computer Science,9/22/2014,11/22/2014,Admit,150,137,287,2.5,72,6,6.9,10
NONE OF THE ABOVE,Business Analytics,9/23/2014,10/30/2014,Admit,150,137,287,2.5,72,6,6.9,10
University of Texas at Dallas,Information Technology Management,11/20/2014,12-07-2014,Admit,161,153,314,4,113,0,8.12,10
University of Florida,"Computer,Information and Network Security",11/23/2014,12-09-2014,Admit,161,147,308,3,90,7.5,8.7,10
Lewis University,Information Security,10-07-2014,12-11-2014,Admit,164,153,317,3,84,7,8.51,10
Valparaiso University,Cyber Security,11/13/2014,12-06-2014,Admit,150,140,290,3,88,0,6.67,10
Lamar University,Computer Science,10/25/2014,12-04-2014,Admit,163,137,300,3,36,3,6.6,10
California State University East Bay,Computer Science,12/19/2014,12/13/2014,Admit,149,135,284,6,72,6,6.3,10
University of Texas at Dallas,Computer Science,11-11-2014,12-10-2014,Admit,163,148,311,3,94,0,7.3,10
University of Texas at Dallas,Computer Engineering,11-01-2014,12-11-2014,Admit,159,149,308,3,103,0,9.01,10
California State University Los Angeles,Computer Science,12/13/2014,1/13/2015,Admit,140,135,275,4.5,72,6,5.8,10
University of Texas at Dallas,Computer Science,09-09-2014,10/29/2014,Admit,163,145,308,4,105,0,7.6,10
Rochester Institute of Technology,Computer Science,10-02-2014,11-01-2014,Admit,163,157,320,4.5,110,0,7,10
University of Texas at Dallas,Computer Science,10/30/2014,12-11-2014,Admit,163,151,314,4,110,0,7.1,10
Clemson University,Computer Engineering,10/24/2014,12-11-2014,Admit,169,160,329,3.5,101,0,9.1,10
University of Missouri St Louis,Computer Science,11/13/2014,12-12-2014,Admit,151,140,291,3,85,0,6.867,10
Western Michigan University,Computer Science,9/19/2014,11-04-2014,Admit,148,137,285,3,78,6.5,6.8,10
University of Texas at Dallas,Computer Science,11/13/2014,12/17/2014,Admit,159,145,304,3,89,0,7.64,10
University of Bridgeport,Computer Science,11/13/2014,12/15/2014,Admit,155,146,301,4,94,0,6.86,10
University of Texas at Dallas,Information Systems Management,11-05-2014,12/22/2014,Admit,160,149,309,4,100,0,6.1,10
